Smiles,CorrectionEnergy
O=C(OC1CCCCC1)c2ccccc2C(=O)OC3CCCCC3,5.566870236417799
O=C(Oc1ccccc1)c2ccccc2C(=O)Oc3ccccc3,-68.85263781978409
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,4.589415907767774
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,9.41931396394972
COc1c2C=CC(=O)Oc2cc3OC(C)(C)C=Cc13,-22.181912148433923
CN1C(=O)N(C)c2nc(Cl)[nH]c2C1=O,-21.83507617653405
OC(=O)c1ccccc1C(=O)c2ccc(Cl)cc2,-34.42696483383382
OC(=O)c1ccccc1C(=O)c2ccc(O)cc2,-36.13924199815922
Cc1cccc(NC(=O)c2ccccc2C(O)=O)c1,-37.076960655458265
Nc1ccc(c2cc(ccc12)[S](O)(=O)=O)[S](O)(=O)=O,-10.83020311684237
Nc1ccc(c2ccc(cc12)[S](O)(=O)=O)[S](O)(=O)=O,-10.927183116842173
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,-31.14166845775435
N#CC(c1ccccc1)c2ccccc2,-90.58710533113907
CO[P](=S)(OC)SCN1N=Nc2ccccc2C1=O,-25.252950655459784
OC(=O)c1cccc2cccnc12,-33.71372487070533
COc1cc(C=O)cc(OC)c1OC,-2.700516513954611
CC(C)CCOC(=O)c1ccccc1O,-2.768182335578872
OCCOC(=O)c1ccccc1O,-5.011785020979432
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C([O-])=O,-25.38278781978323
Clc1ncnc2nc[nH]c12,-34.28194490757675
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-34.44868800692976
Cc1cccc(C)c1N,-7.286946550825533
Cc1cccc(Cl)c1O,-6.093477893526468
Oc1cccc(O)c1O,-9.09811072920094
OC(C(O)C(O)=O)C(O)=O,29.70360233049073
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,2.739260763772989
ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O,9.096289832236096
OCC(O)C(O)C(O)CO,25.509073298899764
Cc1cc(O)cc(C)c1Cl,-5.9440493865009225
Oc1c(Cl)cc(Cl)cc1Cl,-5.1004564005516935
CC(=O)c1sccc1,5.3592922936196725
CC(C)(C)c1ccccc1O,-4.99563237245026
Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,-6.6598291993555705
OC(=O)c1ccccc1Br,-3.185757706380272
CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,-0.4682749841083478
Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-0.3096403180387313
NC(=O)c1ccccc1C(N)=O,-5.250520505183488
OC(=O)c1ccccc1C(O)=O,-3.054196176533821
COc1ccc(OC)c(c1)[N+]([O-])=O,-3.803467856654507
OC(=O)Cc1ccccc1C(O)=O,-2.7683376695091937
Nc1ccc(Cl)cc1[N+]([O-])=O,-5.671804870705444
Oc1ccc(Cl)cc1[N+]([O-])=O,-4.444107706381018
